元器件键,名称,型号,分类,领域,库存数量,单件估价,估算金额,识别来源,更新时间
厚膜电阻 10kΩ ±1% 0603 | 0603WAF1002T5E,厚膜电阻 10kΩ ±1% 0603,0603WAF1002T5E,电阻,电子,400,0.0068,2.72,规则识别,2026-03-21 22:58:54
厚膜电阻 1kΩ ±1% 0603 | 0603WAF1001T5E,厚膜电阻 1kΩ ±1% 0603,0603WAF1001T5E,电阻,电子,200,0.0072,1.44,规则识别,2026-03-21 22:58:54
贴片电容 100nF 50V 0603 | CL10B104KB8NNNC,贴片电容 100nF 50V 0603,CL10B104KB8NNNC,电容,电子,300,0.0167,5.01,规则识别,2026-03-21 22:58:54
贴片电容 10uF 10V 0603 | CL10A106KP8NNNC,贴片电容 10uF 10V 0603,CL10A106KP8NNNC,电容,电子,100,0.0409,4.09,规则识别,2026-03-21 22:58:54
开关二极管 SOD-323 | 1N4148WS,开关二极管 SOD-323,1N4148WS,二极管,电子,100,0.0339,3.39,规则识别,2026-03-21 22:58:54
N沟道 MOSFET 30V 5.8A | AO3400,N沟道 MOSFET 30V 5.8A,AO3400,未分类,电子,20,0.1031,2.062,规则识别,2026-03-21 22:58:54
LDO 稳压 3.3V 1A | AMS1117-3.3,LDO 稳压 3.3V 1A,AMS1117-3.3,未分类,电子,10,0.2324,2.324,规则识别,2026-03-21 22:58:54
比较器 SOIC-8 | LM393DTR,比较器 SOIC-8,LM393DTR,未分类,电子,30,0.2217,6.651,规则识别,2026-03-21 22:58:54
2Kbit EEPROM SOP-8 | 24C02S,2Kbit EEPROM SOP-8,24C02S,未分类,电子,20,0.1534,3.068,规则识别,2026-03-21 22:58:54
排针 1x40P 2.54mm | A254UP-ZD40P,排针 1x40P 2.54mm,A254UP-ZD40P,连接器,电子,50,0.1146,5.73,规则识别,2026-03-21 22:58:54
轻触开关 6x6x9mm 插件 | TC-6610-9-260G,轻触开关 6x6x9mm 插件,TC-6610-9-260G,未分类,电子,50,0.1044,5.22,规则识别,2026-03-21 22:58:54
不锈钢内六角螺丝 M3x8 | M3X8-304,不锈钢内六角螺丝 M3x8,M3X8-304,五金,机械,200,0.05,10.0,规则识别,2026-03-21 22:58:54
深沟球轴承 608ZZ | 608ZZ,深沟球轴承 608ZZ,608ZZ,五金,机械,10,2.0,20.0,规则识别,2026-03-21 22:58:54
